epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1289,0.77199,1.32712,0.90432,0.99658,0.86123,0.99094,0.83953,0.62141,1.92477,0.82072,0.000658824,0.000658824,0.000658824
2,151.51,0.64419,0.73269,0.89191,0.98795,0.99704,0.99461,0.85843,0.58888,0.70015,0.83626,0.00131237,0.00131237,0.00131237
3,303.985,0.62702,0.60459,0.88337,0.99854,0.94675,0.94516,0.83764,0.5077,0.54619,0.81316,0.00195271,0.00195271,0.00195271
4,448.634,0.61247,0.55314,0.88351,0.99578,0.86982,0.86531,0.75794,0.49822,0.50868,0.82336,0.0019406,0.0019406,0.0019406
5,573.719,0.59672,0.48784,0.88654,0.99909,0.9645,0.96602,0.87263,0.46882,0.44002,0.8094,0.0019208,0.0019208,0.0019208
6,686.947,0.57785,0.45723,0.87786,0.99966,1,0.995,0.89178,0.48358,0.41794,0.81761,0.001901,0.001901,0.001901
7,780.256,0.55228,0.44146,0.87658,0.9983,1,0.995,0.90178,0.44708,0.38065,0.81193,0.0018812,0.0018812,0.0018812
8,866.179,0.52182,0.41065,0.86474,0.99677,1,0.995,0.91499,0.43152,0.37718,0.80565,0.0018614,0.0018614,0.0018614
9,957.36,0.52596,0.39818,0.86176,0.99409,0.99603,0.99485,0.93233,0.39725,0.35657,0.79783,0.0018416,0.0018416,0.0018416
10,1058.36,0.50741,0.37724,0.85644,0.99618,1,0.99471,0.93454,0.36423,0.3388,0.79926,0.0018218,0.0018218,0.0018218
11,1176.75,0.47955,0.36232,0.85464,0.99676,1,0.99485,0.95365,0.34391,0.3065,0.79736,0.001802,0.001802,0.001802
12,1282.15,0.45435,0.34922,0.85215,0.99919,1,0.995,0.94782,0.35914,0.29638,0.79636,0.0017822,0.0017822,0.0017822
13,1420.19,0.47258,0.35261,0.86413,0.9971,1,0.995,0.93762,0.35832,0.31877,0.79247,0.0017624,0.0017624,0.0017624
14,1541.22,0.45256,0.34172,0.85183,0.99978,1,0.995,0.92752,0.3842,0.31923,0.79803,0.0017426,0.0017426,0.0017426
15,1644.13,0.4544,0.34377,0.84845,0.99969,1,0.995,0.95653,0.349,0.29545,0.79198,0.0017228,0.0017228,0.0017228
16,1757.32,0.42957,0.32996,0.85154,0.99973,1,0.995,0.96236,0.32733,0.28274,0.79421,0.001703,0.001703,0.001703
17,1888.24,0.44872,0.32774,0.85611,0.99982,1,0.995,0.95441,0.33095,0.2695,0.79085,0.0016832,0.0016832,0.0016832
18,1995.72,0.45525,0.32938,0.85715,0.9997,1,0.995,0.95562,0.31459,0.27204,0.78873,0.0016634,0.0016634,0.0016634
19,2118.22,0.45148,0.32463,0.84642,0.99679,1,0.995,0.96852,0.30286,0.27296,0.78935,0.0016436,0.0016436,0.0016436
20,2231.61,0.44892,0.32335,0.85084,0.9993,1,0.995,0.95434,0.31968,0.26896,0.79067,0.0016238,0.0016238,0.0016238
21,2349.46,0.41101,0.30737,0.83913,0.99978,1,0.995,0.958,0.32959,0.25809,0.79118,0.001604,0.001604,0.001604
22,2458.11,0.41139,0.30032,0.84767,0.99961,1,0.995,0.97476,0.29813,0.25066,0.785,0.0015842,0.0015842,0.0015842
23,2568.13,0.42055,0.30775,0.84957,0.99977,1,0.995,0.96873,0.30395,0.26268,0.78615,0.0015644,0.0015644,0.0015644
24,2700.49,0.41209,0.30529,0.83864,0.99971,1,0.995,0.96484,0.31087,0.25534,0.78778,0.0015446,0.0015446,0.0015446
25,2810.56,0.40096,0.29612,0.84087,0.99827,1,0.995,0.96332,0.30835,0.25938,0.78467,0.0015248,0.0015248,0.0015248
26,2930.47,0.39041,0.29675,0.82933,0.99978,1,0.995,0.97098,0.29889,0.24357,0.78567,0.001505,0.001505,0.001505
27,3048.75,0.40207,0.29391,0.84765,0.99928,1,0.995,0.96568,0.31005,0.24913,0.78478,0.0014852,0.0014852,0.0014852
28,3159.79,0.40574,0.29226,0.83805,0.9997,1,0.995,0.95997,0.31515,0.26476,0.78819,0.0014654,0.0014654,0.0014654
29,3272.42,0.39032,0.28637,0.83257,0.9998,1,0.995,0.97116,0.29761,0.24663,0.78582,0.0014456,0.0014456,0.0014456
30,3377.46,0.39777,0.28929,0.84018,0.99977,1,0.995,0.97129,0.28529,0.23517,0.78467,0.0014258,0.0014258,0.0014258
31,3485.05,0.38579,0.27857,0.83795,0.99982,1,0.995,0.97402,0.27925,0.24151,0.78149,0.001406,0.001406,0.001406
32,3587.55,0.37458,0.2723,0.84221,0.9998,1,0.995,0.98002,0.2661,0.2253,0.78034,0.0013862,0.0013862,0.0013862
33,3683.28,0.39471,0.29043,0.83347,0.99981,1,0.995,0.97686,0.2858,0.23532,0.78096,0.0013664,0.0013664,0.0013664
34,3783.26,0.37856,0.27426,0.84232,0.9998,1,0.995,0.97384,0.26869,0.2259,0.78192,0.0013466,0.0013466,0.0013466
35,3882.24,0.37101,0.27286,0.83642,0.99975,1,0.995,0.98145,0.2681,0.22281,0.78096,0.0013268,0.0013268,0.0013268
36,3982.92,0.35393,0.26219,0.82903,0.99679,1,0.99497,0.98597,0.25057,0.21538,0.77758,0.001307,0.001307,0.001307
37,4114.88,0.36504,0.27176,0.8387,0.99965,1,0.995,0.976,0.26776,0.22518,0.78186,0.0012872,0.0012872,0.0012872
38,4210.04,0.3699,0.27288,0.84177,0.99705,0.99975,0.99364,0.98212,0.2543,0.22486,0.78274,0.0012674,0.0012674,0.0012674
39,4315.24,0.36837,0.27511,0.83206,0.99978,1,0.995,0.97522,0.26451,0.22072,0.78086,0.0012476,0.0012476,0.0012476
40,4453.8,0.36197,0.26195,0.83574,0.99982,1,0.995,0.98122,0.24807,0.21406,0.77995,0.0012278,0.0012278,0.0012278
41,4572.87,0.35566,0.26187,0.8275,0.99981,1,0.995,0.98423,0.24912,0.22033,0.77818,0.001208,0.001208,0.001208
42,4713.64,0.36336,0.26553,0.83293,0.99966,1,0.995,0.98093,0.26265,0.21695,0.77834,0.0011882,0.0011882,0.0011882
43,4816.82,0.36752,0.2631,0.83715,0.99542,1,0.99468,0.98219,0.27044,0.23212,0.7789,0.0011684,0.0011684,0.0011684
44,4940.85,0.35469,0.26186,0.82828,0.9998,1,0.995,0.98224,0.25007,0.20972,0.77748,0.0011486,0.0011486,0.0011486
45,5083.48,0.35131,0.2577,0.82955,1,0.99957,0.995,0.98333,0.2411,0.20602,0.77766,0.0011288,0.0011288,0.0011288
46,5189.27,0.33706,0.24685,0.82882,0.9998,1,0.995,0.98342,0.24904,0.21173,0.77576,0.001109,0.001109,0.001109
